Base	N-Count	sample
1	0.10881724919187745	ERR187490
2	0.0	ERR187490
3	0.0	ERR187490
4	0.0	ERR187490
5	0.0	ERR187490
6	0.0	ERR187490
7	0.0	ERR187490
8	0.0	ERR187490
9	0.0	ERR187490
10	0.0	ERR187490
11	0.0	ERR187490
12	0.0	ERR187490
13	0.0	ERR187490
14	0.0	ERR187490
15	0.0	ERR187490
16	0.0	ERR187490
17	0.0	ERR187490
18	0.0	ERR187490
19	0.0	ERR187490
20	0.0	ERR187490
21	0.0	ERR187490
22	0.0	ERR187490
23	0.0	ERR187490
24	0.0	ERR187490
25	0.0	ERR187490
26	0.0	ERR187490
27	0.0	ERR187490
28	0.0	ERR187490
