GC_Content	Count	sample
0	22.0	ERR187494
1	22.0	ERR187494
2	29.0	ERR187494
3	38.0	ERR187494
4	40.0	ERR187494
5	42.5	ERR187494
6	49.5	ERR187494
7	57.0	ERR187494
8	64.5	ERR187494
9	72.5	ERR187494
10	76.5	ERR187494
11	86.5	ERR187494
12	104.0	ERR187494
13	160.0	ERR187494
14	251.0	ERR187494
15	359.0	ERR187494
16	577.0	ERR187494
17	1094.5	ERR187494
18	1823.5	ERR187494
19	2533.0	ERR187494
20	5109.5	ERR187494
21	8274.0	ERR187494
22	9486.5	ERR187494
23	9871.5	ERR187494
24	10678.5	ERR187494
25	13823.5	ERR187494
26	19461.0	ERR187494
27	24883.5	ERR187494
28	33853.5	ERR187494
29	44396.0	ERR187494
30	89486.0	ERR187494
31	154110.5	ERR187494
32	195031.0	ERR187494
33	229691.0	ERR187494
34	309001.0	ERR187494
35	462151.0	ERR187494
36	567216.5	ERR187494
37	659075.0	ERR187494
38	740745.0	ERR187494
39	847186.5	ERR187494
40	945467.0	ERR187494
41	942445.5	ERR187494
42	953629.0	ERR187494
43	856094.5	ERR187494
44	712781.5	ERR187494
45	669880.5	ERR187494
46	677437.5	ERR187494
47	703495.5	ERR187494
48	864513.5	ERR187494
49	1014159.0	ERR187494
50	1118581.5	ERR187494
51	1223004.0	ERR187494
52	1131093.5	ERR187494
53	1071017.5	ERR187494
54	941652.5	ERR187494
55	841985.5	ERR187494
56	876178.5	ERR187494
57	742424.5	ERR187494
58	622543.5	ERR187494
59	603820.0	ERR187494
60	540064.0	ERR187494
61	446638.0	ERR187494
62	433795.5	ERR187494
63	434766.5	ERR187494
64	392507.5	ERR187494
65	369808.5	ERR187494
66	350444.5	ERR187494
67	324345.5	ERR187494
68	302899.5	ERR187494
69	382814.5	ERR187494
70	477092.5	ERR187494
71	469046.0	ERR187494
72	459048.0	ERR187494
73	448231.0	ERR187494
74	427381.0	ERR187494
75	279397.5	ERR187494
76	134872.0	ERR187494
77	126464.0	ERR187494
78	125833.5	ERR187494
79	102817.5	ERR187494
80	72978.5	ERR187494
81	61948.5	ERR187494
82	54534.5	ERR187494
83	47220.5	ERR187494
84	41890.0	ERR187494
85	36152.5	ERR187494
86	27556.5	ERR187494
87	22984.0	ERR187494
88	21058.0	ERR187494
89	20253.5	ERR187494
90	21157.5	ERR187494
91	20305.0	ERR187494
92	19322.0	ERR187494
93	21592.5	ERR187494
94	21623.0	ERR187494
95	19905.0	ERR187494
96	19828.0	ERR187494
97	17434.0	ERR187494
98	9979.5	ERR187494
99	4919.0	ERR187494
100	4919.0	ERR187494
