Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
1	31.841592577907445	31.0	31.0	34.0	30.0	34.0	ERR187665
2	32.0647141558024	33.0	31.0	34.0	30.0	34.0	ERR187665
3	32.15360126932275	34.0	31.0	34.0	30.0	34.0	ERR187665
4	35.36081521635496	37.0	35.0	37.0	33.0	37.0	ERR187665
5	35.52692362824835	37.0	35.0	37.0	33.0	37.0	ERR187665
6	35.51812996486743	37.0	35.0	37.0	33.0	37.0	ERR187665
7	35.539730775224534	37.0	35.0	37.0	33.0	37.0	ERR187665
8	35.57096361743833	37.0	35.0	37.0	33.0	37.0	ERR187665
9	37.25891087058155	39.0	37.0	39.0	34.0	39.0	ERR187665
10	37.25853787880282	39.0	37.0	39.0	33.0	39.0	ERR187665
11	37.238367719591714	39.0	37.0	39.0	33.0	39.0	ERR187665
12	37.33176065270438	39.0	37.0	39.0	34.0	39.0	ERR187665
13	37.32225191032942	39.0	37.0	39.0	34.0	39.0	ERR187665
14	38.57711115976936	40.0	38.0	41.0	34.0	41.0	ERR187665
15	38.59229976637465	40.0	38.0	41.0	34.0	41.0	ERR187665
16	38.542580406112265	40.0	38.0	41.0	34.0	41.0	ERR187665
17	38.58152952602263	40.0	38.0	41.0	34.0	41.0	ERR187665
18	38.66294973218919	40.0	38.0	41.0	34.0	41.0	ERR187665
19	38.740041153811816	40.0	38.0	41.0	34.0	41.0	ERR187665
20	38.85171838035869	40.0	38.0	41.0	35.0	41.0	ERR187665
21	38.60054284487273	40.0	38.0	41.0	34.0	41.0	ERR187665
22	38.63296506370842	40.0	38.0	41.0	34.0	41.0	ERR187665
23	38.42665952807956	40.0	38.0	41.0	34.0	41.0	ERR187665
24	38.49134158689049	40.0	38.0	41.0	34.0	41.0	ERR187665
25	38.56684256445132	40.0	38.0	41.0	34.0	41.0	ERR187665
26	38.53128565219753	40.0	38.0	41.0	34.0	41.0	ERR187665
27	38.54771922718727	40.0	38.0	41.0	34.0	41.0	ERR187665
28	38.53470422742374	40.0	38.0	41.0	34.0	41.0	ERR187665
29	38.13764758203362	40.0	38.0	41.0	33.0	41.0	ERR187665
30	38.1525680155271	40.0	38.0	41.0	33.0	41.0	ERR187665
31	38.129781699770575	40.0	38.0	41.0	33.0	41.0	ERR187665
32	38.479942558832576	40.0	38.0	41.0	34.0	41.0	ERR187665
33	38.4226138595877	40.0	38.0	41.0	33.0	41.0	ERR187665
34	38.082110146978955	40.0	38.0	41.0	33.0	41.0	ERR187665
35	38.080894697509514	40.0	38.0	41.0	33.0	41.0	ERR187665
36	38.1499593405781	40.0	38.0	41.0	33.0	41.0	ERR187665
37	38.01295548170113	40.0	37.0	41.0	33.0	41.0	ERR187665
38	37.8435707363072	40.0	37.0	41.0	33.0	41.0	ERR187665
39	37.91969255851869	40.0	37.0	41.0	33.0	41.0	ERR187665
40	37.31548060824689	40.0	36.0	41.0	31.0	41.0	ERR187665
41	36.95589085879542	39.0	36.0	41.0	31.0	41.0	ERR187665
42	36.90657536160995	39.0	36.0	41.0	31.0	41.0	ERR187665
