Quality	Count	sample
2	50.0	ERR187665
3	0.0	ERR187665
4	1.0	ERR187665
5	3.0	ERR187665
6	6.0	ERR187665
7	10.0	ERR187665
8	13.0	ERR187665
9	4.0	ERR187665
10	11.0	ERR187665
11	12.0	ERR187665
12	19.0	ERR187665
13	33.0	ERR187665
14	40.0	ERR187665
15	64.0	ERR187665
16	89.0	ERR187665
17	123.0	ERR187665
18	179.0	ERR187665
19	231.0	ERR187665
20	384.0	ERR187665
21	637.0	ERR187665
22	1092.0	ERR187665
23	1995.0	ERR187665
24	3792.0	ERR187665
25	7129.0	ERR187665
26	13271.0	ERR187665
27	23898.0	ERR187665
28	40478.0	ERR187665
29	63214.0	ERR187665
30	93598.0	ERR187665
31	130972.0	ERR187665
32	177368.0	ERR187665
33	237111.0	ERR187665
34	322497.0	ERR187665
35	451816.0	ERR187665
36	654204.0	ERR187665
37	1161625.0	ERR187665
38	2300009.0	ERR187665
39	397266.0	ERR187665
